X	Y
0.1289	6.3608
0.1604	6.6765
0.1933	7.2792
0.2275	7.6928
0.259	8.199
0.2892	9.3706
0.3221	10.7353
0.477	15.74
0.6402	20.562
0.7279	21.5027
0.758	21.7219
0.7745	21.8328
0.7868	21.5588
0.8087	21.6749
0.8238	21.7845
0.8402	21.0382
0.8539	20.6703
0.8635	20.2985
0.8881	19.3696
0.9004	19.2861
