X	Y
0.1071	11.6733
0.1331	13.5077
0.1743	15.2612
0.2141	17.1086
0.2415	18.849
0.2689	20.8751
0.3115	23.2966
0.3774	28.5022
0.5132	39.584
0.6477	46.9501
0.7203	49.5908
0.7423	50.3735
0.7765	50.7871
0.7943	50.2326
0.8135	50.4414
0.8299	49.8856
0.8477	49.5216
0.8642	49.9182
0.8779	49.836
