X	Y
0.16301	23.05813
0.19041	26.06812
0.21233	28.2599
0.23562	30.72381
0.25205	32.77305
0.26986	35.09441
0.29041	36.60866
0.31918	39.21511
0.3589	44.13365
0.44384	54.78897
0.53151	63.42096
0.6137	69.61311
0.70137	73.51536
0.78904	75.52573
0.87945	75.37764
0.89178	74.58349
0.90548	73.11551
0.91781	72.8619
0.9274	72.19919
0.93562	71.66975
0.94658	71.14402
