,jg,jl,B,DpDz,Substance,Re liquid,Re gas,x,G
0,0.705738628917115,0.45745536181276747,0.00017539737087734803,14585.16500603186,CO2,5365.449549252049,6909.546007802549,0.1,500
1,0.8209612622097053,0.44915685184791,0.00016338706941038532,15985.421782451469,CO2,5268.117131125027,7861.030436139444,0.1163265306122449,500
2,0.9361838955022955,0.4408583418830525,0.0001531569666737616,17343.754178449057,CO2,5170.784712998006,8799.643729436273,0.1326530612244898,500
3,1.0514065287948857,0.4325598319181951,0.00014427588450281569,18664.140922803843,CO2,5073.452294870985,9727.532516428615,0.1489795918367347,500
4,1.166629162087476,0.42426132195333766,0.000136448780192582,19949.294172940652,CO2,4976.119876743965,10646.266523875805,0.1653061224489796,500
5,1.281851795380066,0.4159628119884802,0.0001294653487973133,21201.0968536195,CO2,4878.787458616942,11557.033778434286,0.1816326530612245,500
6,1.3970744286726562,0.4076643020236227,0.00012317069996434408,22420.862958783106,CO2,4781.455040489921,12460.75817174413,0.1979591836734694,500
7,1.5122970619652465,0.39936579205876527,0.00011744765172250573,23609.500654011466,CO2,4684.122622362899,13358.174077252228,0.2142857142857143,500
8,1.6275196952578368,0.39106728209390784,0.0001122055394810982,24767.620059802975,CO2,4586.790204235879,14249.875840465706,0.2306122448979592,500
9,1.7427423285504269,0.3827687721290503,0.00010737286361336439,25895.605344538686,CO2,4489.457786108856,15136.351671023069,0.2469387755102041,500
10,1.8579649618430174,0.3744702621641929,0.00010289230412418066,26993.665098884318,CO2,4392.125367981836,16018.007597742588,0.263265306122449,500
11,1.9731875951356075,0.36617175219933545,9.871724550721097e-05,28061.868035836334,CO2,4294.792949854815,16895.184808695383,0.2795918367346939,500
12,2.088410228428198,0.357873242234478,9.4809296228352e-05,29100.1687525941,CO2,4197.460531727793,17768.172475373765,0.29591836734693877,500
13,2.203632861720788,0.34957473226962055,9.1136481014515e-05,30108.42654789984,CO2,4100.128113600772,18637.217412824913,0.3122448979591837,500
14,2.318855495013378,0.341276222304763,8.767189909004935e-05,31086.4192677766,CO2,4002.79569547375,19502.531473011113,0.3285714285714286,500
15,2.434078128305968,0.3329777123399056,8.439271187888908e-05,32033.853509868022,CO2,3905.4632773467292,20364.29728166207,0.3448979591836735,500
16,2.549300761598558,0.32467920237504816,8.127936801028732e-05,32950.37209794764,CO2,3808.1308592197083,21222.67274255478,0.36122448979591837,500
17,2.664523394891148,0.3163806924101907,7.831500208952781e-05,33835.55945720599,CO2,3710.798441092687,22077.79460914732,0.37755102040816324,500
18,2.779746028183739,0.3080821824453332,7.548496260779307e-05,34688.94532988843,CO2,3613.466022965665,22929.781339273468,0.3938775510204082,500
19,2.894968661476329,0.2997836724804757,7.277643712485852e-05,35510.00714247114,CO2,3516.133604838644,23778.735390534166,0.4102040816326531,500
20,3.010191294768919,0.2914851625156183,7.017815162830275e-05,36298.17125053383,CO2,3418.801186711623,24624.74507342178,0.42653061224489797,500
21,3.125413928061509,0.2831866525507608,6.768012709475753e-05,37052.81322696968,CO2,3321.4687685846015,25467.886050147194,0.44285714285714284,500
