,Substance,x,G,T,Liquid density,Gas density,Lquid viscosity,Gas viscosity,Simplex density,Simplex viscosity,jl,jg,Re liquid,Re gas,fi,alpha,Pred,B,DpDz
0,CO2,0.1,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.548946434175321,0.846886354700538,6438.539459102459,8290.117456510765,0.5671339336957526,691.1525798460611,0.3574996172511316,0.00017531110356018345,19891.14500482935
1,CO2,0.1163265306122449,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.538988222217492,0.9851535146516462,6321.740557350033,9431.011633114062,0.5929908487795457,742.1788508467972,0.3574996172511316,0.00016325811677742402,21808.983693915623
2,CO2,0.1326530612244898,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.5290300102596631,1.1234206746027546,6204.941655597608,10556.491324825045,0.615463587541385,791.9681390644929,0.3574996172511316,0.00015299443945359742,23670.109155249516
3,CO2,0.1489795918367347,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.5190717983018341,1.261687834553863,6088.142753845183,11669.130815043138,0.6353068592451032,840.9309304438826,0.3574996172511316,0.00014408641318178572,25479.84632860998
4,CO2,0.1653061224489796,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.5091135863440052,1.399954994504971,5971.343852092757,12770.812010668844,0.653052136648712,889.3796323281574,0.3574996172511316,0.00013623734690674082,27241.81377875487
5,CO2,0.1816326530612245,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.4991553743861763,1.5382221544560792,5854.5449503403315,13862.958856709338,0.6690876067242195,937.5631735690166,0.3574996172511316,0.00012923579436256662,28958.513577538997
6,CO2,0.1979591836734694,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.4891971624283472,1.6764893144071875,5737.746048587905,14946.67846446356,0.6837052669816882,985.6879273861971,0.3574996172511316,0.0001229260480267677,30631.682032806497
7,CO2,0.2142857142857143,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.47923895047051834,1.8147564743582958,5620.94714683548,16022.850694736126,0.6971301526513461,1033.931092727949,0.3574996172511316,0.00011719032569336083,32262.509956190734
8,CO2,0.2306122448979592,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.46928073851268937,1.953023634309404,5504.1482450830545,17092.18751480764,0.7095392597156646,1082.4496675476316,0.3574996172511316,0.00011193751093830791,33851.78735487125
9,CO2,0.2469387755102041,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.4593225265548604,2.0912907942605123,5387.3493433306285,18155.273671856132,0.7210742417900704,1131.3867515622667,0.3574996172511316,0.00010709575778041298,35400.0007149536
10,CO2,0.263265306122449,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.44936431459703147,2.229557954211621,5270.5504415782025,19212.595423000268,0.731850184361249,1180.8761501390068,0.3574996172511316,0.00010260747622603578,36907.40071667394
11,CO2,0.2795918367346939,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.4394061026392025,2.367825114162729,5153.751539825777,20264.56133025353,0.7419618261105703,1231.0458806917495,0.3574996172511316,9.842583725083808e-05,38374.05022122323
12,CO2,0.29591836734693877,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.42944789068137357,2.5060922741138367,5036.952638073352,21311.517637441084,0.7514880688692445,1282.020956772166,0.3574996172511316,9.451227833775098e-05,39799.8588680061
13,CO2,0.3122448979591837,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.41948967872354465,2.6443594340649454,4920.153736320926,22353.759851669314,0.7604953111240378,1333.9256966173266,0.3574996172511316,9.083468577638535e-05,41184.60831854917
14,CO2,0.3285714285714286,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.4095314667657156,2.7826265940160537,4803.3548345685,23391.54160612394,0.7690399546842308,1386.885724905261,0.3574996172511316,8.736604561241536e-05,42527.97080642855
15,CO2,0.3448979591836735,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.3995732548078867,2.920893753967162,4686.555932816075,24425.081536435562,0.7771703187344905,1441.0297884084678,0.3574996172511316,8.408342594715011e-05,43829.5227853953
16,CO2,0.36122448979591837,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.38961504285005777,3.05916091391827,4569.75703106365,25454.56867918016,0.7849281216910938,1496.4914764951254,0.3574996172511316,8.096719787877486e-05,45088.75490272681
17,CO2,0.37755102040816324,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.3796568308922288,3.197428073869378,4452.958129311224,26480.166752254197,0.7923496429197215,1553.4109193636796,0.3574996172511316,7.800043117433091e-05,46305.07914572806
18,CO2,0.3938775510204082,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.3696986189343998,3.335695233820487,4336.159227558798,27502.01757584931,0.7994666439851549,1611.9365265499198,0.3574996172511316,7.516841978921954e-05,47477.833752413026
19,CO2,0.4102040816326531,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.35974040697657084,3.473962393771595,4219.360325806372,28520.24382315654,0.8063071069702678,1672.2268232308577,0.3574996172511316,7.245830518803563e-05,48606.286305827685
20,CO2,0.42653061224489797,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.3497821950187419,3.6122295537227034,4102.561424053947,29534.951241270996,0.8128958320057552,1734.4524408685886,0.3574996172511316,6.985877424266661e-05,49689.63531796025
21,CO2,0.44285714285714284,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.339823983060913,3.750496713673811,3985.7625223015216,30546.23044782703,0.8192549252945205,1798.7983213857299,0.3574996172511316,6.73598146388853e-05,50727.01052633287
22,CO2,0.4591836734693878,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.32986577110308396,3.8887638736249204,3868.963620549096,31554.158382520818,0.8254042011916591,1865.4662006491778,0.3574996172511316,6.49525150651966e-05,51717.47204714173
23,CO2,0.4755102040816327,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.31990755914525504,4.027031033576028,3752.16471879667,32558.799469949696,0.8313615164548379,1934.6774492229808,0.3574996172511316,6.262890051772953e-05,52660.00840489095
24,CO2,0.49183673469387756,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.3099493471874261,4.1652981935271365,3635.365817044245,33560.20654113268,0.8371430503457993,2006.676359868908,0.3574996172511316,6.038179545265403e-05,53553.53351909689
25,CO2,0.5081632653061224,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.2999911352295972,4.303565353478244,3518.5669152918204,34558.42154444033,0.8427635414906623,2081.733993974113,0.3574996172511316,5.820470908003413e-05,54396.88258361836
26,CO2,0.5244897959183674,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.29003292327176816,4.441832513429353,3401.768013539393,35553.47607438056,0.848236489774637,2160.15272129825,0.3574996172511316,5.609173847137052e-05,55188.80686745239
27,CO2,0.5408163265306123,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.2800747113139393,4.58009967338046,3284.969111786969,36545.39173211083,0.8535743301961908,2242.2716266961406,0.3574996172511316,5.403748594001211e-05,55927.96728556081
28,CO2,0.5571428571428572,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.2701164993561103,4.718366833331569,3168.170210034543,37534.18032886333,0.8587885841112118,2328.4730019568105,0.3574996172511316,5.203698793134138e-05,56612.926617615674
29,CO2,0.573469387755102,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.2601582873982814,4.856633993282677,3051.3713082821178,38519.84393551221,0.8638899924220947,2419.1902048512916,0.3574996172511316,5.00856531488515e-05,57242.14016019641
30,CO2,0.589795918367347,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.25020007544045236,4.994901153233786,2934.5724065296913,39502.37483974251,0.8688886317180351,2514.9171962277956,0.3574996172511316,4.817920911393131e-05,57813.94583284609
31,CO2,0.6061224489795919,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.24024186348262344,5.1331683131848935,2817.773504777266,40481.75514773411,0.873794028013016,2616.2204498974106,0.3574996172511316,4.631365124679462e-05,58326.54823399191
32,CO2,0.6224489795918368,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.23028365152479452,5.271435473136002,2700.9746030248407,41457.956518276034,0.8786152485855768,2723.7534502459466,0.3574996172511316,4.448520165815294e-05,58778.00637204026
33,CO2,0.6387755102040816,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.22032543956696557,5.40970263308711,2584.1757012724156,42430.939461387425,0.8833609990573678,2838.2750855405643,0.3574996172511316,4.26902670986889e-05,59166.21347863498
34,CO2,0.6551020408163265,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.21036722760913662,5.547969793038218,2467.37679951999,43400.65252414071,0.8880397125105284,2960.6728010045194,0.3574996172511316,4.092540096297383e-05,59488.8753453622
35,CO2,0.6714285714285715,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.20040901565130761,5.686236952989327,2350.577897767564,44367.031203255116,0.8926596386374058,3091.9922023486683,0.3574996172511316,3.9187266193376196e-05,59743.48388801678
36,CO2,0.6877551020408164,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.1904508036934787,5.824504112940435,2233.7789960151385,45329.99648294604,0.8972289374815102,3233.4753989988358,0.3574996172511316,3.747259729849716e-05,59927.28383430808
37,CO2,0.7040816326530612,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.18049259173564974,5.962771272891543,2116.980094262713,46289.45326243811,0.9017557674842033,3386.6108139338317,0.3574996172511316,3.577816529810684e-05,60037.238019662895
38,CO2,0.7204081632653062,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.17053437977782074,6.101038432842652,2000.181192510287,47245.287779799495,0.9062484032544538,3553.1999853746065,0.3574996172511316,3.410073229765209e-05,60069.97296680386
39,CO2,0.7367346938775511,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.16057616781999182,6.239305592793761,1883.3822907578615,47843.699460249016,0.9242293109746449,4417.56510225941,0.3574996172511316,2.7428395212400782e-05,52862.372198788275
40,CO2,0.753061224489796,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.1506179558621629,6.377572752744868,1766.5833890054364,48829.85770769955,0.927036120050575,4590.913865765174,0.3574996172511316,2.639272376788227e-05,53472.309396604076
41,CO2,0.7693877551020408,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.14065974390433394,6.515839912695976,1649.7844872530109,49812.98043717621,0.9298491245462907,4778.557561750682,0.3574996172511316,2.5356338170150637e-05,54022.12507175467
42,CO2,0.7857142857142857,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.130701531946505,6.654107072647085,1532.9855855005856,50792.80754687672,0.9326782780606521,4983.089339182348,0.3574996172511316,2.4315582814969652e-05,54505.24280133683
43,CO2,0.8020408163265307,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.120743319988676,6.792374232598194,1416.1866837481593,51769.02295843184,0.935534924061792,5207.817640844365,0.3574996172511316,2.326631419483335e-05,54913.88348823076
44,CO2,0.8183673469387756,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.11078510803084707,6.930641392549301,1299.387781995734,52741.2379747866,0.9384322992455115,5457.045873245609,0.3574996172511316,2.22037205322623e-05,55238.712498570094
45,CO2,0.8346938775510204,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.10082689607301813,7.0689085525004085,1182.5888802433085,53708.96783406791,0.9413862365326418,5736.498315854118,0.3574996172511316,2.1122070439105505e-05,55468.3460033302
46,CO2,0.8510204081632654,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.09086868411518913,7.207175712451519,1065.7899784908825,54671.59693246386,0.9444162078193491,6053.995219250556,0.3574996172511316,2.0014340466605194e-05,55588.624194616044
47,CO2,0.8673469387755103,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.08091047215736019,7.345442872402626,948.991076738457,55628.3262861402,0.9475468985651917,6420.567364367821,0.3574996172511316,1.8871653332962274e-05,55581.520698561304
48,CO2,0.8836734693877552,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.07095226019953126,7.483710032353735,832.1921749860318,56578.09001278537,0.950810719126796,6852.3979478121255,0.3574996172511316,1.7682382492097912e-05,55423.4207592288
49,CO2,0.9,600,-10,983.7025370448737,70.84775857702444,0.00011909533285781757,1.3646965518633306e-05,0.07202152674105848,0.11458858370987374,0.06099404824170232,7.621977192304842,715.3932732336064,57519.41554171313,0.9542520265550825,7374.4337070386055,0.3574996172511316,1.643064760154152e-05,55082.258958439525
