,jg,jl,B,DpDz,Substance,Re liquid,Re gas,x,fi,alpha,Pred,G
0,0.423443177350269,0.2744732170876605,0.00017566725515702803,6166.1354651043,CO2,3219.2697295512294,4147.821555911615,0.1,0.566378659415641,689.7513221400909,0.3590307097011989,300
1,0.4925767573258231,0.269494111108746,0.00016379020997740092,6750.2446345663875,CO2,3160.8702786750164,4720.09945186946,0.1163265306122449,0.5918372043573333,739.767789039399,0.3590307097011989,300
2,0.5617103373013773,0.26451500512983156,0.0001536648174946725,7316.22060979776,CO2,3102.470827798804,5284.605892897221,0.1326530612244898,0.613983009905249,788.5130993337599,0.3590307097011989,300
3,0.6308439172769315,0.25953589915091707,0.00014486771774937935,7865.838499490824,CO2,3044.0713769225913,5842.631789050272,0.1489795918367347,0.6335538513029063,836.3955985756522,0.3590307097011989,300
4,0.6999774972524855,0.2545567931720026,0.00013710905416867728,8400.319230591243,CO2,2985.6719260463783,6395.121998972943,0.1653061224489796,0.6510693033435975,883.72516487654,0.3590307097011989,300
5,0.7691110772280396,0.24957768719308815,0.00013018210247522238,8920.519603681634,CO2,2927.2724751701658,6942.7921443707855,0.1816326530612245,0.6669089353105604,930.7479230821496,0.3590307097011989,300
6,0.8382446572035938,0.2445985812141736,0.00012393452794056818,9427.046105773148,CO2,2868.8730242939523,7486.199079576546,0.1979591836734694,0.6813583367193905,977.6671885932008,0.3590307097011989,300
7,0.9073782371791479,0.23961947523525917,0.00011825102845348064,9920.327149460702,CO2,2810.47357341774,8025.785728859286,0.2142857142857143,0.6946376618257556,1024.6568092128448,0.3590307097011989,300
8,0.976511817154702,0.23464036925634468,0.0001130423491475359,10400.659382325463,CO2,2752.0741225415272,8561.910710096094,0.2306122448979592,0.706920128766698,1071.8701656061787,0.3590307097011989,300
9,1.0456453971302562,0.2296612632774302,0.00010823807066189677,10868.239815871937,CO2,2693.6746716653142,9094.868736095825,0.2469387755102041,0.7183444149984454,1119.4464273090125,0.3590307097011989,300
10,1.1147789771058105,0.22468215729851573,0.00010378171433942889,11323.187893994278,CO2,2635.2752207891012,9624.905003903319,0.263265306122449,0.7290232292585633,1167.515128002149,0.3590307097011989,300
11,1.1839125570813644,0.21970305131960124,9.962732950588516e-05,11765.561233665223,CO2,2576.8757699128887,10152.225622254777,0.2795918367346939,0.739049388784204,1216.199632191519,0.3590307097011989,300
12,1.2530461370569184,0.21472394534068678,9.573705669057119e-05,12195.367012801531,CO2,2518.476319036676,10677.005327037861,0.29591836734693877,0.7485002251996875,1265.6198726988239,0.3590307097011989,300
13,1.3221797170324727,0.20974483936177232,9.207935120688788e-05,12612.570313929044,CO2,2460.076868160463,11199.393295620464,0.3122448979591837,0.7574408415094238,1315.8946051763346,0.3590307097011989,300
14,1.3913132970080269,0.2047657333828578,8.862766419134037e-05,13017.100286669349,CO2,2401.67741728425,11719.51759848502,0.3285714285714286,0.7659265616114058,1367.1433474732119,0.3590307097011989,300
15,1.460446876983581,0.19978662740394335,8.535944719550951e-05,13408.854711619475,CO2,2343.2779664080376,12237.488654560948,0.3448979591836735,0.7740048010472119,1419.4881232508144,0.3590307097011989,300
16,1.529580456959135,0.19480752142502888,8.225538988753429e-05,13787.703365846031,CO2,2284.878515531825,12753.401944927273,0.36122448979591837,0.7817165156223995,1473.055099087719,0.3590307097011989,300
17,1.598714036934689,0.1898284154461144,7.929882849483223e-05,14153.490467831967,CO2,2226.479064655612,13267.340165166748,0.37755102040816324,0.7890973373100398,1527.9761857916606,0.3590307097011989,300
18,1.6678476169102434,0.1848493094671999,7.647528117156262e-05,14506.036395848663,CO2,2168.079613779399,13779.3749460541,0.3938775510204082,0.7961784752363631,1584.3906638206215,0.3590307097011989,300
19,1.7369811968857976,0.17987020348828542,7.377207899023438e-05,14845.138816356646,CO2,2109.680162903186,14289.568237281579,0.4102040816326531,0.8029874379535977,1642.446887220303,0.3590307097011989,300
20,1.8061147768613517,0.17489109750937096,7.117806986162027e-05,15170.573320537856,CO2,2051.2807120269736,14797.973424436765,0.42653061224489797,0.8095486181823546,1702.3041189069213,0.3590307097011989,300
21,1.8752483568369056,0.1699119915304565,5.859480572783245e-05,12824.262923076289,CO2,1992.8812611507608,15067.607204919723,0.44285714285714284,0.8417550627350929,2067.8747884938675,0.3590307097011989,300
22,1.9443819368124602,0.16493288555154198,5.6834661030439525e-05,13197.29930285946,CO2,1934.481810274548,15580.994037428596,0.4591836734693878,0.846310176614205,2131.915970016717,0.3590307097011989,300
23,2.013515516788014,0.15995377957262752,5.514048065964568e-05,13563.723630190705,CO2,1876.082359398335,16093.242281883427,0.4755102040816327,0.8507061893883751,2197.4186668625853,0.3590307097011989,300
24,2.0826490967635682,0.15497467359371306,5.3506282114137964e-05,13923.144418584152,CO2,1817.6829085221225,16604.36385263254,0.49183673469387756,0.854957352952989,2264.5326252123377,0.3590307097011989,300
25,2.151782676739122,0.1499955676147986,5.1926649893350165e-05,14275.143296694565,CO2,1759.2834576459102,17114.36606621649,0.5081632653061224,0.8590766397948607,2333.420733864783,0.3590307097011989,300
26,2.2209162567146765,0.14501646163588408,5.0396651097814346e-05,14619.272181384864,CO2,1700.8840067696965,17623.251738936764,0.5244897959183674,0.8630759331144188,2404.261371774675,0.3590307097011989,300
27,2.29004983669023,0.14003735565696965,4.8911764162206636e-05,14955.050270664391,CO2,1642.4845558934844,18131.019233402647,0.5408163265306123,0.8669661883815233,2477.2510985180215,0.3590307097011989,300
