,jg,jl,B,DpDz,Substance,Re liquid,Re gas,x,fi,alpha,Pred,G,T
0,0.5831094743995816,0.2615389966581748,0.0001590070346301505,7375.603323336106,CO2,2738.0712041613265,4248.087399289352,0.1,0.6022480616684391,836.3696110038139,0.26698499941271026,300,-20
1,0.6783110212403297,0.25679452506346867,0.00014786427061929528,8129.949032169275,CO2,2688.4009782354974,4843.698286039807,0.1163265306122449,0.6268529622026918,899.3967991286654,0.26698499941271026,300,-20
2,0.7735125680810777,0.2520500534687626,0.00013840932520081962,8864.222242027055,CO2,2638.7307523096683,5432.148566196014,0.1326530612244898,0.6481172376857417,960.8359227785716,0.26698499941271026,300,-20
3,0.8687141149218258,0.24730558187405646,0.00013022813416625558,9580.270137545926,CO2,2589.060526383839,6014.63310949909,0.1489795918367347,0.6668030478324565,1021.1975511428977,0.26698499941271026,300,-20
4,0.9639156617625737,0.24256111027935034,0.00012303859027890438,10279.326145115496,CO2,2539.39030045801,6592.02562852739,0.1653061224489796,0.6834431590989403,1080.8694361584419,0.26698499941271026,300,-20
5,1.0591172086033218,0.23781663868464425,0.00011664037109136895,10962.22413574255,CO2,2489.7200745321816,7164.987377547063,0.1816326530612245,0.6984242198345334,1140.1597101942837,0.26698499941271026,300,-20
6,1.15431875544407,0.23307216708993808,0.0001108864316311805,11629.524681533789,CO2,2440.049848606352,7734.032563692854,0.1979591836734694,0.71203544495858,1199.323034785921,0.26698499941271026,300,-20
7,1.249520302284818,0.22832769549523202,0.00010566586160081313,12281.594762422297,CO2,2390.379622680523,8299.569930037478,0.2142857142857143,0.724498613042427,1258.5772707073213,0.26698499941271026,300,-20
8,1.344721849125566,0.2235832239005259,0.00010089308186237235,12918.659389474982,CO2,2340.709396754694,8861.930274729986,0.2306122448979592,0.7359873789389378,1318.1146739267808,0.26698499941271026,300,-20
9,1.439923395966314,0.21883875230581976,9.650077106303161e-05,13540.836385066781,CO2,2291.039170828865,9421.385327647233,0.2469387755102041,0.7466401585127055,1378.1097315131758,0.26698499941271026,300,-20
10,1.5351249428070624,0.21409428071111364,9.24350820039303e-05,14148.1604080615,CO2,2241.3689449030358,9978.161080884436,0.263265306122449,0.7565689901596752,1438.7248739048482,0.26698499941271026,300,-20
11,1.6303264896478098,0.20934980911640752,8.865231581845879e-05,14740.599899952285,CO2,2191.698718977207,10532.447439514748,0.2795918367346939,0.7658657897991753,1500.1148077487517,0.26698499941271026,300,-20
12,1.725528036488558,0.2046053375217014,8.511655369319221e-05,15318.069230508008,CO2,2142.0284930513776,11084.40535892166,0.29591836734693877,0.7746068666301789,1562.4299378926291,0.26698499941271026,300,-20
13,1.820729583329306,0.19986086592699528,8.179793477664338e-05,15880.437498978166,CO2,2092.3582671255485,11634.172221296934,0.3122448979591837,0.7828562482659996,1625.8191855775626,0.26698499941271026,300,-20
14,1.9159311301700541,0.19511639433228914,7.86713806041323e-05,16427.53494393504,CO2,2042.6880411997195,12181.865950542087,0.3285714285714286,0.7906681723235317,1690.432412387378,0.26698499941271026,300,-20
15,2.011132677010802,0.19037192273758305,6.487003732973503e-05,13911.269417114405,CO2,1993.0178152738908,12513.618456729107,0.3448979591836735,0.8256152920748612,2050.078236035326,0.26698499941271026,300,-20
16,2.10633422385155,0.18562745114287693,6.271787534847158e-05,14465.495758017867,CO2,1943.3475893480615,13062.402747565115,0.36122448979591837,0.8311330071283413,2120.426608229002,0.26698499941271026,300,-20
17,2.2015357706922978,0.1808829795481708,6.067913463178092e-05,15013.744976022906,CO2,1893.6773634222325,13609.92672571025,0.37755102040816324,0.8363768819728883,2191.6702093314893,0.26698499941271026,300,-20
18,2.2967373175330463,0.17613850795346467,5.8742161164524124e-05,15555.634847848287,CO2,1844.0071374964032,14156.234973324597,0.3938775510204082,0.8413742762242705,2263.938695207628,0.26698499941271026,300,-20
19,2.3919388643737944,0.17139403635875855,5.6896801381963236e-05,16090.760990901666,CO2,1794.336911570574,14701.365129936019,0.4102040816326531,0.8461491530353318,2337.366046426776,0.26698499941271026,300,-20
20,2.487140411214542,0.16664956476405243,5.513415031178791e-05,16618.695560934302,CO2,1744.6666856447453,15245.348632555082,0.42653061224489797,0.8507226365559689,2412.0921597309066,0.26698499941271026,300,-20
21,2.58234195805529,0.16190509316934631,5.344634844846953e-05,17138.985599012372,CO2,1694.9964597189162,15788.21130183899,0.44285714285714284,0.8551134643238413,2488.264503770737,0.26698499941271026,300,-20
22,2.6775435048960388,0.15716062157464017,5.1826416303895384e-05,17651.150998074987,CO2,1645.326233793087,16329.973799572086,0.4591836734693878,0.8593383580150233,2566.039892102152,0.26698499941271026,300,-20
23,2.7727450517367864,0.15241614997993408,5.0268118385001516e-05,18154.682064202698,CO2,1595.6560078672578,16870.651977163965,0.4755102040816327,0.863412330131455,2645.58642680703,0.26698499941271026,300,-20
24,2.8679465985775345,0.14767167838522796,4.8765851321332085e-05,18649.03702957736,CO2,1545.985781941429,17410.25715566752,0.49183673469387756,0.8673489374703486,2727.085616206899,0.26698499941271026,300,-20
25,2.9631481454182818,0.14292720679052187,4.731454618679671e-05,19133.637450172315,CO2,1496.3155560156004,17948.7962136492,0.5081632653061224,0.871160505248187,2810.735015304868,0.26698499941271026,300,-20
26,3.0583496922590307,0.1381827351958157,4.590959332212314e-05,19607.866144950272,CO2,1446.6453300897706,18486.271803405234,0.5244897959183674,0.8748582984360006,2896.7508112602623,0.26698499941271026,300,-20
