,Substance,x,G,T,Liquid density,Gas density,Lquid viscosity,Gas viscosity,Simplex density,Simplex viscosity,jl,jg,Re liquid,Re gas,fi,alpha,Pred,B,DpDz
0,CO2,0.1,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.2508443545573816,0.8128068386616083,2332.5158381184883,4338.230092012566,0.637557024223319,1012.5617642822027,0.19256120354572445,0.00014308510699490782,9007.118724098438
1,CO2,0.1163265306122449,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.246293890075615,0.9455099959941158,2290.2026256356135,4955.903619688878,0.6610830887556896,1091.6388385365544,0.19256120354572445,0.00013272018479619174,9994.970922747509
2,CO2,0.1326530612244898,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.24174342559384845,1.0782131533266233,2247.8894131527386,5567.0371318697435,0.6812876510732268,1168.7378842768571,0.19256120354572445,0.00012396492860408643,10960.694386990475
3,CO2,0.1489795918367347,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.23719296111208188,1.2109163106591307,2205.576200669863,6172.726418406837,0.6989461259352161,1244.4949986927556,0.19256120354572445,0.00011641871484695344,11906.15820678646
4,CO2,0.1653061224489796,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.23264249663031533,1.3436194679916382,2163.262988186988,6773.77207754929,0.7145965556718787,1319.3935404981817,0.19256120354572445,0.0001098099270112891,12832.554895935367
5,CO2,0.1816326530612245,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.2280920321485488,1.4763226253241457,2120.9497757041136,7370.779576382309,0.7286269079461596,1393.8178267808644,0.19256120354572445,0.00010394651696763669,13740.6399059957
6,CO2,0.1979591836734694,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.22354156766678218,1.6090257826566532,2078.636563221238,7964.21947321465,0.7413257220831951,1468.0855881297844,0.19256120354572445,9.86880530350002e-05,14630.87286742271
7,CO2,0.2142857142857143,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.21899110318501566,1.7417289399891607,2036.323350738363,8554.46561921186,0.7529131243731344,1542.4687224338197,0.19256120354572445,9.392897649987056e-05,15503.505249759297
8,CO2,0.2306122448979592,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.21444063870324911,1.8744320973216682,1994.0101382554878,8963.411123649195,0.7942592723772431,1875.7614591067295,0.19256120354572445,7.723930336550748e-05,13215.00545167962
9,CO2,0.2469387755102041,300,-30,1076.3646663542372,36.90913827619719,0.00016437187423741894,1.2298085247624724e-05,0.03429055173393271,0.07481867141005738,0.20989017422148254,2.007135254654176,1951.6969257726128,9549.186510221072,0.8023983533235368,1957.726350493411,0.19256120354572445,7.400549537720453e-05,14022.058871234609
