x,G,T,jl,jg,DpDz,Target
0.12877,300,-10,0.2656992232480916,0.5452677794739414,7183.148305163792,6255.09
0.1589,300,-10,0.25651046988047915,0.6728512088095775,8192.345608300284,6566.09
0.19178,300,-10,0.24648304834954327,0.8120793255223459,9236.916203397277,7286.1900000000005
0.22329,300,-10,0.2368734360490631,0.9455062707054156,10186.823189774397,7734.17
0.25616,300,-10,0.22684906422053933,1.084692043100449,11126.742048775473,8454.28
0.29178,300,-10,0.21598602422869215,1.2355225028726147,12087.61230553808,9313.22
0.32192,300,-10,0.20679422115866758,1.363148276525986,12853.830493812788,10840.43
0.47808,300,-10,0.1591700682915464,2.024397142276166,13620.771258535224,15916.33
0.64247,300,-10,0.10903601033927918,2.720495381522273,16822.1395574847,21003.329999999998
0.72603,300,-10,0.08355269698389596,3.074324500516158,17974.116650525833,21927.06
0.75753,300,-10,0.07394613438582781,3.207709101381493,18284.11834522974,22375.050000000003
0.77534,300,-10,0.06851461438990422,3.2831243312675755,18421.413464968038,22399.11
0.7863,300,-10,0.06517214054625894,3.329533703505165,18490.516432401702,22143.65
0.80685,300,-10,0.05890500208942404,3.416551276450645,18584.86314535477,22171.420000000002
0.82603,300,-10,0.05305567286304476,3.4977676778664275,18626.127344643974,22332.47
0.83836,300,-10,0.04929538978894383,3.5499782216337152,18625.386019443766,21403.18
0.85205,300,-10,0.0451203471867993,3.607947592612967,18596.166496631417,21016.29
0.86301,300,-10,0.04177787334315399,3.6543569648505567,18548.63827865144,20760.829999999998
0.88904,300,-10,0.03383949796449644,3.7645792239148315,18333.090920824496,20120.329999999998
0.9,300,-10,0.03049702412085116,3.810988596152421,18190.210313036372,19864.86
0.0726,400,-10,0.3771058689290316,0.4098929956750604,8317.754794593211,8341.36
0.09589,400,-10,0.3676355263720366,0.5413862170148973,9752.260107811051,9183.640000000001
0.1411,400,-10,0.34925192023198753,0.7966377643216394,12345.888656404966,10596.08
0.16438,400,-10,0.3397856439448753,0.9280745265711628,13602.63795425857,11438.359999999999
0.19041,400,-10,0.3292011434399986,1.075037538656863,14952.387456698878,12149.2
0.21233,400,-10,0.3202878798569445,1.1987958646237682,16046.131955607123,12989.63
0.24658,400,-10,0.3063609055084225,1.3921682489470577,17679.557525868408,15062.939999999999
0.31233,400,-10,0.2796251810291429,1.7633867677574602,20562.245926252835,18935.58
0.36986,400,-10,0.2562319303935087,2.0881959143302735,22809.177163751923,21986.3
0.43014,400,-10,0.23172045554010995,2.4285313107392628,24876.197159881776,24905.59
0.49315,400,-10,0.20609888900871218,2.784280038803802,26702.14706235515,28233.989999999998
0.5589,400,-10,0.17936316452943268,3.1554985576142043,28210.991262618427,31566.09
0.61644,400,-10,0.15596584762391566,3.480364163277331,25295.93293230979,33941.130000000005
0.67945,400,-10,0.1303442810925179,3.83611289134187,26948.359368804624,35647.91
0.74932,400,-10,0.10193325342153295,4.2305925553613815,28368.082473223352,36823.4
0.80822,400,-10,0.0779829238119578,4.563136597307126,29089.0905750424,37308.4
0.83562,400,-10,0.06684134433314018,4.717834504765757,29218.113513179138,36940.02
0.85205,400,-10,0.060160462915732404,4.810596790150623,29213.97653756152,36691.97
0.86986,400,-10,0.052918436254500954,4.911150429998733,29126.27399323684,36580.9
0.8863,400,-10,0.04623348856721038,5.003969174473912,28953.638300138155,36467.97
0.89726,400,-10,0.04177685677568334,5.065848337457365,28780.2278073708,36347.65
0.91644,400,-10,0.033977751140510964,5.174136872678408,28337.971055439884,35022.21
0.9274,400,-10,0.029521119348983927,5.2360160356618595,27986.773518786627,34091.079999999994
0.9411,400,-10,0.023950329609575095,5.313364989391175,27415.690478409455,33298.78
0.08767,500,-10,0.4637225002696024,0.6187210559716347,13496.331684268785,12956.31
0.10274,500,-10,0.45606266437791526,0.725075867349444,14823.314163879393,14057.76
0.12329,500,-10,0.4456174336165238,0.870105155591911,16569.627645859167,15166.6
0.13699,500,-10,0.4386539464422628,0.9667913477535559,17698.069774642026,15590.52
0.15616,500,-10,0.4289101472356508,1.1020814429169667,19233.56473401232,16832.65
0.17397,500,-10,0.4198576139091115,1.2277734927271051,20617.63764019897,18883.75
0.19178,500,-10,0.4108050805825721,1.353465542537243,21962.914827120105,19718.620000000003
0.22055,500,-10,0.396181757516624,1.556506546076697,24057.439626682655,22325.06
0.26712,500,-10,0.37251098396149,1.8851690255633977,27248.56022704839,26847.460000000003
0.36301,500,-10,0.32377165657901635,2.5619017968320192,33048.71228215735,34274.340000000004
0.46438,500,-10,0.2722469343268384,3.2773090449652984,37995.265776129476,43059.98
0.50822,500,-10,0.24996377536920308,3.586704859882562,39723.90621737249,47038.130000000005
0.5589,500,-10,0.22420395566179083,3.9443731970177556,41384.12954254384,51025.55
0.60137,500,-10,0.20261714542158168,4.244100392718854,42474.37607102812,53245.09
0.64932,500,-10,0.17824494031166813,4.582502065284611,43344.953662972934,55607.18
0.66986,500,-10,0.16780479238763005,4.727460779664186,37620.026792449,56175.490000000005
0.69041,500,-10,0.15735956162623857,4.872490067906654,38346.06484574122,57149.2
0.70137,500,-10,0.15178877188682968,4.949839021635969,38712.238929412604,57164.009999999995
0.72192,500,-10,0.1413435411254382,5.094868309878437,39355.65148291035,57597.189999999995
0.74932,500,-10,0.12741656677691618,5.2882406942017255,40116.00706850429,57904.479999999996
0.76849,500,-10,0.11767276757030422,5.423530789365137,40572.59984524052,58065.530000000006
0.79726,500,-10,0.1030494445043561,5.626571792904591,41121.597039192995,57158.46
0.80959,500,-10,0.09678230604752115,5.713589365850072,41299.53534796631,57580.530000000006
0.82329,500,-10,0.08981881887326018,5.810275558011716,41451.143838728654,57193.63
0.83562,500,-10,0.08355168041642523,5.8972931309571965,41541.64716972859,57480.56
0.85479,500,-10,0.07380788120981327,6.032583226120608,41583.8554472171,57236.21
