	G	x	Liquid viscosity	Liquid density	Gas viscosity	Gas density	Liquid velocity	Gas velocity	Delta density	Substance
0	300	0.1	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.2744732170876605	0.423443177350269	912.8547784678492	CO2
1	300	0.2	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.24397619296680934	0.846886354700538	912.8547784678492	CO2
2	300	0.3	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.21347916884595816	1.270329532050807	912.8547784678492	CO2
3	300	0.4	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.182982144725107	1.693772709401076	912.8547784678492	CO2
4	300	0.5	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.15248512060425584	2.117215886751345	912.8547784678492	CO2
5	300	0.6	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.12198809648340467	2.540659064101614	912.8547784678492	CO2
6	300	0.7	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.09149107236255351	2.964102241451883	912.8547784678492	CO2
7	300	0.8	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.06099404824170232	3.387545418802152	912.8547784678492	CO2
8	300	0.9	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.03049702412085116	3.810988596152421	912.8547784678492	CO2
9	400	0.1	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.365964289450214	0.564590903133692	912.8547784678492	CO2
10	400	0.2	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.32530159062241243	1.129181806267384	912.8547784678492	CO2
11	400	0.3	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.2846388917946109	1.693772709401076	912.8547784678492	CO2
12	400	0.4	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.24397619296680934	2.258363612534768	912.8547784678492	CO2
13	400	0.5	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.20331349413900776	2.82295451566846	912.8547784678492	CO2
14	400	0.6	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.16265079531120621	3.387545418802152	912.8547784678492	CO2
15	400	0.7	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.12198809648340468	3.952136321935844	912.8547784678492	CO2
16	400	0.8	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.0813253976556031	4.516727225069536	912.8547784678492	CO2
17	400	0.9	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.04066269882780155	5.081318128203228	912.8547784678492	CO2
18	500	0.1	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.45745536181276747	0.705738628917115	912.8547784678492	CO2
19	500	0.2	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.4066269882780155	1.41147725783423	912.8547784678492	CO2
20	500	0.3	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.3557986147432636	2.117215886751345	912.8547784678492	CO2
21	500	0.4	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.3049702412085117	2.82295451566846	912.8547784678492	CO2
22	500	0.5	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.25414186767375974	3.528693144585575	912.8547784678492	CO2
23	500	0.6	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.20331349413900776	4.23443177350269	912.8547784678492	CO2
24	500	0.7	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.15248512060425587	4.940170402419805	912.8547784678492	CO2
25	500	0.8	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.10165674706950385	5.64590903133692	912.8547784678492	CO2
26	500	0.9	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.050828373534751926	6.351647660254035	912.8547784678492	CO2
27	600	0.1	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.548946434175321	0.846886354700538	912.8547784678492	CO2
28	600	0.2	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.48795238593361867	1.693772709401076	912.8547784678492	CO2
29	600	0.3	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.4269583376919163	2.540659064101614	912.8547784678492	CO2
30	600	0.4	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.365964289450214	3.387545418802152	912.8547784678492	CO2
31	600	0.5	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.3049702412085117	4.23443177350269	912.8547784678492	CO2
32	600	0.6	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.24397619296680934	5.081318128203228	912.8547784678492	CO2
33	600	0.7	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.18298214472510702	5.928204482903766	912.8547784678492	CO2
34	600	0.8	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.12198809648340464	6.775090837604304	912.8547784678492	CO2
35	600	0.9	0.00011909533285781757	983.7025370448737	1.3646965518633306e-05	70.84775857702444	0.06099404824170232	7.621977192304842	912.8547784678492	CO2
