x,G,T,Simplex density,Simplex viscosity,jl,jg,DpDz,Target
0.0891,300,0,0.10468586999566479,0.1444963707769503,0.29436728731254225,0.275047993488536,4931.435420940203,5465.8
0.1275,300,0,0.10468586999566479,0.1444963707769503,0.2819579077617665,0.39358719606945386,6004.079583069577,5692.8
0.1631,300,0,0.10468586999566479,0.1444963707769503,0.2704533788032348,0.5034829151288465,6922.272270287558,5821.900000000001
0.1987,300,0,0.10468586999566479,0.1444963707769503,0.2589488498447031,0.6133786341882391,7779.54904482751,6236.799999999999
0.233,300,0,0.10468586999566479,0.1444963707769503,0.24786443008971334,0.7192613073269236,8553.404183169465,6555.2
0.27,300,0,0.10468586999566479,0.1444963707769503,0.23590747583505964,0.8334787681470788,9333.93433417988,7161.8
0.307,300,0,0.10468586999566479,0.1444963707769503,0.22395052158040593,0.9476962289672339,10059.645386745953,7673.3
0.3604,300,0,0.10468586999566479,0.1444963707769503,0.20669372814260842,1.1125398075563229,11010.911699951512,8771.800000000001
0.4509,300,0,0.10468586999566479,0.1444963707769503,0.17744766435757703,1.3919095428056216,12357.556952866393,10667.5
0.5427,300,0,0.10468586999566479,0.1444963707769503,0.1477814913690038,1.6752923239756283,11249.076005853674,12659.7
0.6304,300,0,0.10468586999566479,0.1444963707769503,0.11944027817621651,1.9460185757034014,12430.5744500268,13981.3
0.6907,300,0,0.10468586999566479,0.1444963707769503,0.09995367435038897,2.1321621672562494,13088.173220502538,14895.9
0.7263,300,0,0.10468586999566479,0.1444963707769503,0.0884491453918573,2.2420578863156417,13399.613256523136,15120.300000000001
0.7661,300,0,0.10468586999566479,0.1444963707769503,0.07558734054495952,2.3649188306573223,13663.419813011506,15062.900000000001
0.8017,300,0,0.10468586999566479,0.1444963707769503,0.06408281158642785,2.474814549716715,13806.122231532663,14906.3
0.8345,300,0,0.10468586999566479,0.1444963707769503,0.05348313322014022,2.576066785254582,13838.674614076892,14270.9
0.8537,300,0,0.10468586999566479,0.1444963707769503,0.047278443444752356,2.6353363865450414,13802.676170658431,13908.2
0.12877,300,-10,0.07202152674105848,0.11458858370987374,0.2656992232480916,0.5452677794739414,7183.148305163792,6255.09
0.1589,300,-10,0.07202152674105848,0.11458858370987374,0.25651046988047915,0.6728512088095775,8192.345608300284,6566.09
0.19178,300,-10,0.07202152674105848,0.11458858370987374,0.24648304834954327,0.8120793255223459,9236.916203397277,7286.1900000000005
0.22329,300,-10,0.07202152674105848,0.11458858370987374,0.2368734360490631,0.9455062707054156,10186.823189774397,7734.17
0.25616,300,-10,0.07202152674105848,0.11458858370987374,0.22684906422053933,1.084692043100449,11126.742048775473,8454.28
0.29178,300,-10,0.07202152674105848,0.11458858370987374,0.21598602422869215,1.2355225028726147,12087.61230553808,9313.22
0.32192,300,-10,0.07202152674105848,0.11458858370987374,0.20679422115866758,1.363148276525986,12853.830493812788,10840.43
0.47808,300,-10,0.07202152674105848,0.11458858370987374,0.1591700682915464,2.024397142276166,13620.771258535224,15916.33
0.64247,300,-10,0.07202152674105848,0.11458858370987374,0.10903601033927918,2.720495381522273,16822.1395574847,21003.329999999998
0.72603,300,-10,0.07202152674105848,0.11458858370987374,0.08355269698389596,3.074324500516158,17974.116650525833,21927.06
0.75753,300,-10,0.07202152674105848,0.11458858370987374,0.07394613438582781,3.207709101381493,18284.11834522974,22375.050000000003
0.77534,300,-10,0.07202152674105848,0.11458858370987374,0.06851461438990422,3.2831243312675755,18421.413464968038,22399.11
0.7863,300,-10,0.07202152674105848,0.11458858370987374,0.06517214054625894,3.329533703505165,18490.516432401702,22143.65
0.80685,300,-10,0.07202152674105848,0.11458858370987374,0.05890500208942404,3.416551276450645,18584.86314535477,22171.420000000002
0.82603,300,-10,0.07202152674105848,0.11458858370987374,0.05305567286304476,3.4977676778664275,18626.127344643974,22332.47
0.83836,300,-10,0.07202152674105848,0.11458858370987374,0.04929538978894383,3.5499782216337152,18625.386019443766,21403.18
0.85205,300,-10,0.07202152674105848,0.11458858370987374,0.0451203471867993,3.607947592612967,18596.166496631417,21016.29
0.86301,300,-10,0.07202152674105848,0.11458858370987374,0.04177787334315399,3.6543569648505567,18548.63827865144,20760.829999999998
0.88904,300,-10,0.07202152674105848,0.11458858370987374,0.03383949796449644,3.7645792239148315,18333.090920824496,20120.329999999998
0.9,300,-10,0.07202152674105848,0.11458858370987374,0.03049702412085116,3.810988596152421,18190.210313036372,19864.86
0.1042,300,-20,0.049836076746133266,0.0922828672589128,0.26031848134043667,0.6076000723243641,7571.711620905748,7289.7
0.1371,300,-20,0.049836076746133266,0.0922828672589128,0.2507577780181545,0.7994430894018265,9061.001001877741,7225.799999999999
0.1645,300,-20,0.049836076746133266,0.0922828672589128,0.24279536856433898,0.9592150853873118,10245.195048379455,8299.5
0.1947,300,-20,0.049836076746133266,0.0922828672589128,0.23401928223203133,1.1353141466559855,11497.540948343585,8328.2
0.2248,300,-20,0.049836076746133266,0.0922828672589128,0.22527225578824125,1.3108300984502594,12693.575111330178,9499.800000000001
0.255,300,-20,0.049836076746133266,0.0922828672589128,0.2164961694559336,1.4869291597189331,13842.559526252433,10957.1
0.2865,300,-20,0.049836076746133266,0.0922828672589128,0.2073423045728975,1.6706086441548011,14986.775271352539,12034.7
0.3153,300,-20,0.049836076746133266,0.0922828672589128,0.1989730566798359,1.838544172781881,15983.980220060228,13586.0
0.3894,300,-20,0.049836076746133266,0.0922828672589128,0.17743967928831283,2.270628293311971,15407.677157146229,16704.100000000002
